"SourceAccount","SourceFile","ReportRange","วัน","แคมเปญ","คลิก","การแสดงผล","CTR","รหัสสกุลเงิน","CPC เฉลี่ย","ค่าใช้จ่าย","Conversion"
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-05","ติดฟิล์ม [Exact Match]","20","126","15.87%","THB","61.21","1224.21",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-05","ติดฟิล์ม [Broad match]","129","1,732","7.45%","THB","33.24","4287.41",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-05","Demand Gen","338","2,028","16.67%","THB","1.79","604.92",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-06","ติดฟิล์ม [Exact Match]","20","199","10.05%","THB","65.00","1299.92",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-06","ติดฟิล์ม [Broad match]","109","1,512","7.21%","THB","35.05","3820.67",""
"Googel_Ads_MHL","Googel_Ads_MHL.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-06","Demand Gen","364","2,600","14.00%","THB","1.68","610.90",""
"Google Ads-GFS","Google Ads-GFS.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-01","","197","3,725","5.29%","THB","25.39","5002.09","26.75"
"Google Ads-GFS","Google Ads-GFS.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-02","","2,541","46,797","5.43%","THB","1.44","3652.41","38.00"
"Google Ads-GFS","Google Ads-GFS.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-03","","0","0","0","THB","0","0.00","0.00"
"Google Ads-GFS","Google Ads-GFS.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-04","","1,578","59,431","2.66%","THB","0.40","635.14","8.00"
"Google Ads-GFS","Google Ads-GFS.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-05","","212","4,508","4.70%","THB","23.80","5044.56","16.00"
"Google Ads-GFS","Google Ads-GFS.csv","1 มิถุนายน ค.ศ. 2026 - 7 มิถุนายน ค.ศ. 2026","2026-06-06","","3,162","70,482","4.49%","THB","0.85","2694.93","45.00"
